Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
1.97,18231.3,218777.57,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,1501,18012.00,USD,,"Hosted Zones (2), Additional Records in Hosted Zones (1000000)"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,255.04,3060.48,USD,,"Data transfer out to internet (2 TB per month), Data transfer out to origin (2 TB per month), Number of requests (HTTPS) (40000000 per month)"
My Estimate,US East (N. Virginia),,Network Load Balancer,0,295.65000000000003,3547.80,USD,,"Number of Network Load Balancers (2), Processed bytes per NLB for TCP (20 GB per hour), Average number of new TCP connections (1000 per second), Average TCP connection duration (1000 seconds), Processed bytes per NLB for UDP (10 GB per hour)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,3281.088,39373.06,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 24), Advance EC2 instance (t2.2xlarge), Pricing strategy (Compute Savings Plans 3yr  No Upfront), Enable monitoring (enabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,500.04,6000.48,USD,,Number of NAT Gateways (4)
My Estimate,US East (N. Virginia),,Application Load Balancer,0,149.65,1795.80,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,12053.52,144642.24,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (12 TB), Quantity (3), Instance type (db.m3.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Cost for one month of retention (per vCPU per month) (1.5000000000), Cost for each additional month of retention (per vCPU per month) (0.0631000000), Cost for total retention (per vCPU per month) (2.95)"
My Estimate,US East (N. Virginia),,S3 Standard,1.96608,195.31,2345.69,USD,,"S3 Standard storage (6 TB per month), S3 Standard Average Object Size (16 MB), PUT, COPY, POST, LIST requests to S3 Standard (10000000), GET, SELECT, and all other requests from S3 Standard (10000000)"
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."

- (horizontal scaling) increase number of Ec2 instances
-  increase number of Ec2 instances capacity
- increase of RDS capacity
